Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,AMD,A10-5745M APU,1019,38.2,5173,https://cpu.userbenchmark.com/SpeedTest/4194/AMD-A10-5745M-APU-with-Radeontm-HD-Graphics
CPU,,AMD,Athlon Dual Core 4850e,1020,38.2,548,https://cpu.userbenchmark.com/SpeedTest/3970/AMD-Athlontm-Dual-Core-Processor-4850e
CPU,,Intel,Pentium 967,1021,38.1,256,https://cpu.userbenchmark.com/SpeedTest/4152/IntelR-PentiumR-CPU-967---130GHz
CPU,,Intel,Core2 6420,1022,38.1,1805,https://cpu.userbenchmark.com/SpeedTest/1967/IntelR-CoreTM2-CPU----------6420----213GHz
CPU,,Intel,Core2 Duo P7570,1023,38.1,239,https://cpu.userbenchmark.com/SpeedTest/7581/IntelR-CoreTM2-Duo-CPU-----P7570----226GHz
CPU,,Intel,Core i3 M 330,1024,38.1,10144,https://cpu.userbenchmark.com/SpeedTest/484/IntelR-CoreTM-i3-CPU-------M-330----213GHz
CPU,,Intel,Core2 Duo P8600,1025,38,7269,https://cpu.userbenchmark.com/SpeedTest/753/IntelR-CoreTM2-Duo-CPU-----P8600----240GHz
CPU,,Intel,Core2 Duo T7700,1026,38,1726,https://cpu.userbenchmark.com/SpeedTest/2770/IntelR-CoreTM2-Duo-CPU-----T7700----240GHz
CPU,AD9500AGABBOX,AMD,A6-9500 APU (2016 D.BR),1027,37.9,1972,https://cpu.userbenchmark.com/SpeedTest/302063/AMD-A6-9500-RADEON-R5-8-COMPUTE-CORES-2C-6G
CPU,BX80557E6550,Intel,Core2 Duo E6550,1028,37.9,9865,https://cpu.userbenchmark.com/Intel-Core2-Duo-E6550/Rating/568
CPU,,AMD,Athlon II P360,1029,37.9,1300,https://cpu.userbenchmark.com/SpeedTest/3956/AMD-Athlontm-II-P360-Dual-Core-Processor
CPU,,AMD,A4-4300M APU,1030,37.9,1953,https://cpu.userbenchmark.com/SpeedTest/2001/AMD-A4-4300M-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Core2 Duo L9600,1031,37.8,93,https://cpu.userbenchmark.com/SpeedTest/1700/IntelR-CoreTM2-Duo-CPU-----L9600----213GHz
CPU,,AMD,Phenom II P940,1032,37.8,78,https://cpu.userbenchmark.com/SpeedTest/12706/AMD-Phenomtm-II-P940-Quad-Core-Processor
CPU,,Intel,Pentium E5400,1033,37.8,12661,https://cpu.userbenchmark.com/SpeedTest/4475/PentiumR-Dual-Core--CPU------E5400----270GHz
CPU,,Intel,Core2 Duo P8400,1034,37.8,5677,https://cpu.userbenchmark.com/SpeedTest/307/IntelR-CoreTM2-Duo-CPU-----P8400----226GHz
CPU,,Intel,Celeron E3300,1035,37.7,2057,https://cpu.userbenchmark.com/SpeedTest/5787/IntelR-CeleronR-CPU--------E3300----250GHz
CPU,,Intel,Pentium N3540,1036,37.7,14025,https://cpu.userbenchmark.com/SpeedTest/15842/IntelR-PentiumR-CPU--N3540----216GHz
CPU,,AMD,A6-3400M APU,1037,37.7,3257,https://cpu.userbenchmark.com/SpeedTest/491/AMD-A6-3400M-APU-with-Radeontm-HD-Graphics
