Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,id
GPU,GTX750TI-OC-2GD5,Asus,ASUS GTX 750 Ti 2GB OC,231,17.2,309423,https://gpu.userbenchmark.com/Nvidia-GTX-750-Ti/Rating/2187,2411
GPU,N750TI-2GD5TLP,MSI,MSI GTX 750 Ti 2GB,231,17.2,309423,https://gpu.userbenchmark.com/Nvidia-GTX-750-Ti/Rating/2187,2412
GPU,N750TI TF 2GD5/OC,MSI,MSI GTX 750 Ti 2GB Gaming,231,17.2,309423,https://gpu.userbenchmark.com/Nvidia-GTX-750-Ti/Rating/2187,2413
GPU,02G-P4-3751-KR,EVGA,EVGA GTX 750 Ti 2GB,231,17.2,309423,https://gpu.userbenchmark.com/Nvidia-GTX-750-Ti/Rating/2187,2414
GPU,02G-P4-3757-KR,EVGA,EVGA GTX 750 Ti 2GB FTW,231,17.2,309423,https://gpu.userbenchmark.com/Nvidia-GTX-750-Ti/Rating/2187,2415
GPU,GV-N75TOC2-2GI,Gigabyte,Gigabyte GTX 750 Ti 2GB OC 2,231,17.2,309423,https://gpu.userbenchmark.com/Nvidia-GTX-750-Ti/Rating/2187,2416
GPU,GV-N75TOC-1GI,Gigabyte,Gigabyte GTX 750 Ti 2GB,231,17.2,309423,https://gpu.userbenchmark.com/Nvidia-GTX-750-Ti/Rating/2187,2417
GPU,,Nvidia,GTX 650 Ti Boost,232,17.1,15701,https://gpu.userbenchmark.com/Nvidia-GTX-650-Ti-Boost/Rating/2190,2418
GPU,,Intel,Iris Xe DG1,233,17,101,https://gpu.userbenchmark.com/SpeedTest/1499887/IntelR-IrisR-Xe-Graphics,2419
GPU,,AMD,RX Vega 8 5000 (iGPU),234,16.7,140621,https://gpu.userbenchmark.com/SpeedTest/1415260/AMD-RadeonTM-Graphics,2420
GPU,,AMD,HD 5970 (Crossfire Disabled),235,16.7,1620,https://gpu.userbenchmark.com/SpeedTest/7906/AMD-Radeon-HD-5900,2421
GPU,,Nvidia,GTX 960M,236,16.4,73363,https://gpu.userbenchmark.com/SpeedTest/27242/NVIDIA-GeForce-GTX-960M,2422
GPU,,Nvidia,GTX 560 Ti,237,16.3,42397,https://gpu.userbenchmark.com/Nvidia-GTX-560-Ti/Rating/2180,2423
GPU,,Nvidia,Quadro K2200,238,16.3,13860,https://gpu.userbenchmark.com/Nvidia-Quadro-K2200/Rating/2839,2424
GPU,,Nvidia,GeForce GTX 470,239,16.2,5537,https://gpu.userbenchmark.com/SpeedTest/7820/NVIDIA-GeForce-GTX-470,2425
GPU,,Nvidia,Quadro K5000M,240,16,355,https://gpu.userbenchmark.com/SpeedTest/11324/NVIDIA-Quadro-K5000M,2426
GPU,,Nvidia,GTX 770M,241,16,6357,https://gpu.userbenchmark.com/SpeedTest/7724/NVIDIA-GeForce-GTX-770M,2427
GPU,,Nvidia,GTX 675MX,242,15.8,591,https://gpu.userbenchmark.com/SpeedTest/10174/NVIDIA-GeForce-GTX-675MX,2428
GPU,,Nvidia,GTX 860M,243,15.6,18736,https://gpu.userbenchmark.com/SpeedTest/8647/NVIDIA-GeForce-GTX-860M,2429
GPU,,AMD,HD 6870,244,15.4,25443,https://gpu.userbenchmark.com/SpeedTest/7744/AMD-Radeon-HD-6800,2430
GPU,,AMD,Radeon 740M,245,15.3,19,https://gpu.userbenchmark.com/SpeedTest/2202542/AMD-RadeonTM-740M,2431
GPU,,Nvidia,GTX 560 Ti-OEM,246,15.2,864,https://gpu.userbenchmark.com/SpeedTest/9203/NVIDIA-GeForce-GTX-560-Ti,2432
GPU,,AMD,HD 5850,247,15.1,15020,https://gpu.userbenchmark.com/SpeedTest/7680/AMD-Radeon-HD-5800,2433
GPU,,Nvidia,Quadro 6000,248,14.8,1288,https://gpu.userbenchmark.com/SpeedTest/7657/NVIDIA-Quadro-6000,2434
GPU,,Nvidia,GTX 750,249,14.7,66662,https://gpu.userbenchmark.com/Nvidia-GTX-750/Rating/3162,2435
